country,iso3,inform_risk,hazard_score,conflict_score,vulnerability_score,coping_capacity_score
Afghanistan,AFG,7.8,7.7,7.1,8.3,7.4
Albania,ALB,3.1,3.7,1.6,2.4,3.3
Algeria,DZA,4.3,5.7,3.4,3.4,4.2
Angola,AGO,6,5.9,2.3,5.2,6.9
Antigua and Barbuda,ATG,2.1,2,0,1.4,3.5
Argentina,ARG,3.7,4.6,0.9,2.7,4
Armenia,ARM,3.4,3.8,2.7,3.9,2.6
Australia,AUS,2.4,2.9,1,2.1,2.4
Austria,AUT,2.4,1.5,0.3,3.2,3
Azerbaijan,AZE,4.8,5.2,2.6,4.6,4.7
Bahamas,BHS,2.5,2.2,0,2.1,3.2
Bahrain,BHR,1.7,2.1,4,0.7,3.4
Bangladesh,BGD,6.2,8.4,6.2,6.2,4.5
Barbados,BRB,2.2,3.2,0,1.3,2.5
Belarus,BLR,2.6,2.6,4.8,2.2,3.1
Belgium,BEL,2.6,2,0.3,2.7,3.3
Belize,BLZ,3.8,3.3,0,3.4,4.8
Benin,BEN,5.6,4.8,4.3,5.1,7
Bhutan,BTN,2.9,2.1,2,2.6,4.3
Bolivia,BOL,4.6,4.2,1.7,4.5,5.2
Bosnia and Herzegovina,BIH,3.6,2.5,3.3,3.8,4.8
Botswana,BWA,3.3,1.5,0.2,4.5,5.1
Brazil,BRA,5.1,6.6,4.5,4,4.9
Brunei Darussalam,BRN,2.3,1.7,0,2.9,2.6
Bulgaria,BGR,2.6,2,0.8,3,2.9
Burkina Faso,BFA,7.2,7.3,9.2,7.5,6.9
Burundi,BDI,6.4,6.6,7.2,6.5,6.2
Cabo Verde,CPV,2.6,1,0,4.2,4
Cambodia,KHM,5.1,5,3.1,4.9,5.5
Cameroon,CMR,6.8,7.2,7.6,6.6,6.7
Canada,CAN,2.8,2.8,1,3.2,2.4
Central African Republic,CAF,7.6,6.4,6.5,8,8.7
Chad,TCD,7.9,7.1,6.3,8.2,8.6
Chile,CHL,3.3,3.8,1.6,3.9,2.4
China,CHN,2.9,6.1,3.8,1.3,3.1
Colombia,COL,5.3,7.7,5.5,6.3,3.1
Comoros,COM,3.3,1.1,0,4.5,7
Congo,COG,5.8,4.4,2.9,6.1,7.2
Congo DR,COD,8,8.3,10,7.7,8.1
Costa Rica,CRI,3.7,4.7,0.8,5,2.2
Côte d'Ivoire,CIV,5.3,3.7,3.1,6.3,6.3
Croatia,HRV,2.5,2.7,0.8,2.1,2.8
Cuba,CUB,3.5,3.7,3.2,2.9,4.1
Cyprus,CYP,2.9,2.2,2.4,4.4,2.5
Czech Republic,CZE,1.9,1.1,1.1,3.5,1.8
Denmark,DNK,1.3,1.4,1,2.5,0.7
Djibouti,DJI,5.5,4.8,4,5.7,6.2
Dominica,DMA,2.6,2.2,0,2.2,3.5
Dominican Republic,DOM,4.9,5.7,2.4,4.8,4.2
Ecuador,ECU,5.6,7,4.5,4.9,5
Egypt,EGY,5,7,4.2,4.4,4.1
El Salvador,SLV,4.2,4.6,1.8,4.5,3.6
Equatorial Guinea,GNQ,3.5,2,2.4,3,7.3
Eritrea,ERI,4.8,3.2,2.9,4.3,8.1
Estonia,EST,1.9,1.3,1.8,3.4,1.5
Eswatini,SWZ,4.3,3.9,2.5,4.2,4.9
Ethiopia,ETH,7,7.6,8.8,6.8,6.7
Fiji,FJI,3.1,3,0,3.1,3.3
Finland,FIN,1.9,1.7,1.8,2.4,1.8
France,FRA,2.6,2.8,1.7,3.1,2.1
Gabon,GAB,3.7,2.8,3.5,3.1,6
Gambia,GMB,4.6,3,2.3,5.4,6.1
Georgia,GEO,3.5,4.1,4,4.7,2.3
Germany,DEU,2.6,2.4,0.4,3.9,1.8
Ghana,GHA,4.6,4.6,2.9,4.3,5
